29-06-2023	15:46:22	b872bd73-3077-4e05-9d87-7087e4025cda	GET 	 undefined 	/api/user/refreshtk
29-06-2023	15:46:30	a9671546-4d23-455c-957c-405634d7a79c	GET 	 undefined 	/api/user/refreshtk
29-06-2023	15:46:59	b9dd0211-5b04-4889-a244-2b9abca0be51	POST 	 undefined 	/api/user/login
29-06-2023	15:48:28	a0bb56fa-388a-4e00-80a5-8a66146e095c	GET 	 undefined 	/api/user/refreshtk
29-06-2023	15:49:58	b660035e-8166-40ea-b396-11cd5cc0c353	POST 	 undefined 	/api/user/login
29-06-2023	15:50:22	69ea5a47-f4ec-422f-a803-4de78ab459aa	GET 	 undefined 	/api/user/refreshtk
29-06-2023	15:50:54	32bb6647-f6bd-409c-acf1-1894cf84c332	GET 	 undefined 	/api/users
29-06-2023	15:51:00	aa563d4b-fabe-4bde-a985-ba5702dd7f69	GET 	 undefined 	/api/user/refreshtk
29-06-2023	15:54:32	1aed10e3-9530-4c07-a3db-7fea270b7bc7	POST 	 undefined 	/api/user/login
29-06-2023	15:54:48	97c80903-71e9-498a-87fc-479b34f7c713	GET 	 undefined 	/api/users
29-06-2023	15:54:53	9e4d3996-fee2-42ae-a990-dbf9561a4e19	GET 	 undefined 	/api/users
29-06-2023	15:54:54	e1d7cf55-4955-482e-a388-3dbd89be7e58	GET 	 undefined 	/api/users
29-06-2023	15:54:59	dc7433bd-9451-4762-848d-238e7cef91b8	GET 	 undefined 	/api/users
29-06-2023	15:55:00	1953b817-d329-4f18-9043-2fe525887d26	GET 	 undefined 	/api/users
29-06-2023	15:55:48	2c16edc1-bc75-4459-a40f-5915f3eb660d	GET 	 undefined 	/api/user/refreshtk
29-06-2023	16:02:01	fbd83e95-c24b-4383-9802-52bbbdac854f	POST 	 undefined 	/api/user/login
